Bolagsnamn,Lista,Sektor,Bransch,Ticker,Kursutveckling,Direktavkastning,PE,PS,PB,Kursutveckling2,Direktavkastning2,PE2,PS2,PB2,Kursutveckling3,Direktavkastning3,PE3,PS3,PB3
AarhusKarlshamn,Large Cap,Dagligvaror,Livsmedel,AAK,0.183362789,0.042731199,28.52096939,1.47756803,4.102798939,0.036466212,0.01523395,23.52148244,1.218562687,3.383612731,0.047761149,0.01495726,23.95659065,1.241104007,3.446203947
ABB,Large Cap,Industri,Industrimaskiner,ABB,-0.050601749,0.01940994,28.57024956,1.469442964,3.039484978,-0.087679739,0.045834363,26.63593711,1.369955759,2.833699706,-0.093415823,0.046033521,26.52070045,1.36402905,2.821439981
Active Biotech,Small Cap,Hälsovård,Biotech,ACTI,-0.115384588,0.061538458,-11.75969028,47.72040176,7.450768948,0.072243347,0.017730496,36.5370164,1.372512231,3.3427,0.022900763,0.01865672,34.72312164,1.304373026,3.176749945
Addnode,Mid Cap,Informationsteknik,IT-Konsulter,ANOD B,0.108243771,0.01103448,40.0611496,1.504896045,3.665117025,0.200507622,0.021141649,20.43214196,1.373217888,5.85821845,0.078578563,0.023201859,18.61787033,1.25128305,5.338037968
Addtech,Large Cap,Industri,Industrikomponenter,ADDT B,0.178947392,0.027847731,22.25505066,1.495733023,6.380876064,-0.199590054,0.035211268,11.94299171,1.408496403,2.373877797,-0.172053738,0.03303303,12.73052979,1.501374006,2.530414104
Alfa Laval,Large Cap,Industri,Industrikomponenter,ALFA,-0.203703747,0.01069355,13.64422035,1.609130979,2.712025881,-0.031802108,0.072992701,45.08061862,0.558606675,2.634667814,-0.068493147,0.07352941,44.75156021,0.55452919,2.615437031
A3 Allmänna IT- och Telekom,Small Cap,Telekommunikation,Bredband & Telefoni,ATRE,0.072607288,0.033783779,53.47153854,0.662580907,3.125061989,-0.078416119,0.02162314,19.79124983,2.10332628,3.34399112,-0.061712847,0.020671141,20.70273018,2.200193882,3.497997046
Anoto,Small Cap,Informationsteknik,Elektronisk Utrustning,ANOT,-0.325236168,0.024083769,-4.006410122,1.148980975,0.540009081,0.00537636,0.033903743,80.48368089,4.406387909,8.185066106,0.032629559,0.03299628,82.69714355,4.527572155,8.410172462
Arise Windpower,Small Cap,Kraftförsörjning,Vindkraft,ARISE,0.764102631,0.03557409,-4.885392189,2.52877903,1.644793034,0.159574471,0.024700071,20.83563084,3.317841667,6.467020721,0.186975632,0.023561089,21.84285927,3.478230953,6.77964592
Assa Abloy,Large Cap,Industri,Byggmaterial,ASSA B,-0.124818954,0.054844608,20.14694977,2.141128063,3.404090881,-0.009864309,0.03113325,7.622139325,7.611274493,0.939049008,-0.103532276,0.03396739,6.986169815,6.976212025,0.860697389
AstraZeneca,Large Cap,Hälsovård,Läkemedel,AZN,0.297069988,0.008293839,97.98636627,5.364640236,9.965063095,-0.285047989,0.045250959,10.46233399,0.564879232,2.289191032,-0.333196068,0.048558369,9.749723434,0.526404083,2.133270025
Atlas Copco A,Large Cap,Industri,Industrimaskiner,ATCO A,0.187590637,0.0275634,24.06316948,3.831790924,7.468792915,-0.001516718,0.029113924,26.88446486,10.07299665,8.967973881,-0.101164532,0.03103914,25.21694946,9.448214531,8.411732674
Atrium Ljungberg,Large Cap,Finans & Fastighet,Fastighetsbolag,ATRLJ B,-0.110576887,0.062776299,7.024137974,7.014125824,0.865375221,-0.020360675,0.043052257,21.44567266,0.696536784,8.791611045,0.125968418,0.03695209,24.98599052,0.811523318,10.24295998
Autoliv,Large Cap,Sällanköpsvaror,Bil & Motor,ALIV SDB,-0.312288857,0.095281305,10.62693977,0.57376641,2.325206995,-0.470476189,0.053956835,12.11117888,0.376568706,0.955923616,-0.47928997,0.05681818,11.5012598,0.357604802,0.907783628
Avanza,Large Cap,Finans & Fastighet,Nischbanker,AZA,0.145083914,0.03822222,32.49956894,12.17685032,10.84103012,-0.247619038,0.055379747,8.205447794,0.094120009,0.444977354,-0.273607731,0.05833333,7.789981842,0.089354441,0.422446787
Axfood,Large Cap,Dagligvaror,Livsmedelsbutiker,AXFO,0.171937962,0.008522727,25.95384979,0.842958391,10.63973045,0.278855038,0.018050542,28.54072831,1.661087551,5.644047768,0.100600729,0.020325201,25.34663963,1.475190043,5.012403011
Bergman & Beving,Mid Cap,Industri,Industrikomponenter,BERG B,-0.479047623,0.014414411,11.91512966,0.370473206,0.940450013,-0.302067909,0.053968254,13.21918671,1.232178419,2.359837146,-0.416328316,0.063354039,11.26078987,1.04963398,2.010231972
BE Group,Small Cap,Industri,Industrikomponenter,BEGR,-0.375000038,0.035998969,53.79336166,0.088135019,0.401827991,-0.398954735,0.014492754,15.19154557,0.63167664,1.441679548,-0.449180336,0.01488095,14.7952404,0.615198076,1.40407002
Beijer Ref,Large Cap,Industri,Installation & VVS,BEIJ B,0.30812149,0.021989529,31.05772972,1.807579041,6.141795158,-0.352131157,0.020242915,15.06097561,0.206057064,0.614618483,-0.391304321,0.021978021,13.87195015,0.1897894,0.566095889
Beijer Alma,Mid Cap,Industri,Industrikomponenter,BEIA B,-0.327151375,0.01416431,12.68762016,1.182631016,2.264944077,-0.493282166,0.076839827,6.495606327,0.988838972,1.044144519,-0.597000694,0.096075783,5.19507885,0.790857077,0.835089624
Beijer Electronics,Small Cap,Informationsteknik,Datorer & Hårdvara,BELE,-0.292832165,0.040688581,17.8115406,0.74061799,1.690317035,-0.136170177,0.073891626,8.879918012,0.24285048,2.249225345,-0.241691837,0.083665342,7.84257412,0.214480907,1.986472964
Bergs Timber,Small Cap,Material,Skogsbolag,BRG B,-0.365695763,0.02166667,14.93902016,0.204388604,0.60964179,-0.171121578,0.089174616,18.79628908,0.815824406,1.024705971,-0.14183506,0.084355078,19.8701992,0.862435699,1.083250999
Betsson,Large Cap,Sällanköpsvaror,Betting & Casino,BETS B,-0.396960754,0.079617829,7.950790882,1.210365057,1.278059959,-0.220779228,0.022222222,33.31235889,8.122580032,12.28845063,-0.274447956,0.02318841,31.92433929,7.784139156,11.77643013
Bilia,Mid Cap,Sällanköpsvaror,Bil & Motor,BILI A,-0.295396404,0.161904793,6.88646698,0.188333005,1.744297028,-0.357088394,0.018968583,29.40356259,4.987524708,6.274250402,-0.395161247,0.01939394,28.75867081,4.878136158,6.136641026
BillerudKorsnäs,Large Cap,Material,Skogsbolag,BILL,-0.118338547,0.03,21.92639923,0.951682329,1.195348978,-0.3225,0.092250923,10.4991283,0.524874983,1.543719062,-0.489054031,0.1179245,8.213339806,0.410603315,1.207633018
BioGaia,Mid Cap,Dagligvaror,Hälsoprodukter,BIOG B,-0.050701184,0.032490981,40.71511078,9.927598,15.01922035,-0.416597824,0.049539986,6.679429909,0.77393272,0.932603868,-0.316993484,0.041866031,7.903756142,0.915793002,1.10354805
Bioinvent,Small Cap,Hälsovård,Biotech,BINV,-0.116834164,0.054771791,-5.090514183,7.526000023,4.163739204,0.103448277,0.023863636,22.44096496,1.813400061,4.028801517,-0.046249962,0.027522941,19.45734024,1.572299957,3.493154049
Biotage,Mid Cap,Hälsovård,Medicinsk Utrustning,BIOT,-0.127358465,0.02518657,38.69348907,6.5633111,8.25657177,0.001379289,0.017217631,2.381463944,2.165910413,0.742765878,-0.0825175,0.01905488,2.151845932,1.957075953,0.671149313
Björn Borg,Small Cap,Sällanköpsvaror,Kläder & Skor,BORG,-0.465369682,0.054408998,8.871956825,0.44352901,1.304471016,-0.271910095,0.051146384,9.75651725,0.261676468,0.921813246,-0.294533749,0.05287147,9.438182831,0.253138512,0.891736388
