Bolagsnamn,Land,Lista,Sektor,Bransch,Ticker,Kursutveckling,PE,PS,PB
AarhusKarlshamn,Sverige,Large Cap,Dagligvaror,Livsmedel,AAK,0.036466212,23.52148244,1.218562687,3.383612731
ABB,Sverige,Large Cap,Industri,Industrimaskiner,ABB,-0.087679739,26.63593711,1.369955759,2.833699706
Active Biotech,Sverige,Small Cap,Hälsovård,Biotech,ACTI,-0.308677101,-10.35364295,42.0147,6.559915985
Addnode,Sverige,Mid Cap,Informationsteknik,IT-Konsulter,ANOD B,0.072243347,36.5370164,1.372512231,3.3427
Addtech,Sverige,Large Cap,Industri,Industrikomponenter,ADDT B,0.200507622,20.43214196,1.373217888,5.85821845
Alfa Laval,Sverige,Large Cap,Industri,Industrikomponenter,ALFA,-0.199590054,11.94299171,1.408496403,2.373877797
A3 Allmänna IT- och Telekom,Sverige,Small Cap,Telekommunikation,Bredband & Telefoni,ATRE,-0.031802108,45.08061862,0.558606675,2.634667814
Anoto,Sverige,Small Cap,Informationsteknik,Elektronisk Utrustning,ANOT,-0.51773838,-3.485576923,0.999613815,0.469807961
Arise Windpower,Sverige,Small Cap,Kraftförsörjning,Vindkraft,ARISE,0.627027054,-4.274718096,2.212681498,1.439193983
Assa Abloy,Sverige,Large Cap,Industri,Byggmaterial,ASSA B,-0.078416119,19.79124983,2.10332628,3.34399112
AstraZeneca,Sverige,Large Cap,Hälsovård,Läkemedel,AZN,0.00537636,80.48368089,4.406387909,8.185066106
Atlas Copco A,Sverige,Large Cap,Industri,Industrimaskiner,ATCO A,0.159574471,20.83563084,3.317841667,6.467020721
Atrium Ljungberg,Sverige,Large Cap,Finans & Fastighet,Fastighetsbolag,ATRLJ B,-0.009864309,7.622139325,7.611274493,0.939049008
Autoliv,Sverige,Large Cap,Sällanköpsvaror,Bil & Motor,ALIV SDB,-0.285047989,10.46233399,0.564879232,2.289191032
Avanza,Sverige,Large Cap,Finans & Fastighet,Nischbanker,AZA,-0.001516718,26.88446486,10.07299665,8.967973881
Axfood,Sverige,Large Cap,Dagligvaror,Livsmedelsbutiker,AXFO,-0.020360675,21.44567266,0.696536784,8.791611045
